"房源标题";"价格";"出租方式";"户型";"建筑面积";"朝向";"楼层";"装修";"小区名称";"地址"
"万科四季花城一期 2室2厅 4500元";"4500元/月（押二付一）";"整租";"2室2厅1卫";"72平米";"东西";"中层";"简装修";"万科四季花城三期 (龙岗/坂田)";"坂田街道五和南路与布龙公路交汇"
"精装修，干净整洁，随时入住 可. 办. 公";"13000元/月（押二付一）";"整租";"3室2厅2卫";"110平米";"南";"高层";"精装修";"沙河世纪假日广场 (南山/华侨城)";"深圳市南山区华侨城片区世界之窗对面（深南大道北侧）"
"顶奢豪宅 南向看海景 豪装3房家私全齐，门卡在手随时看房";"35000元/月（押一付二）";"整租";"3室2厅3卫";"200平米";"南北";"中层";"豪华装修";"东海国际公寓 (福田/车公庙)";"深南大道7888号东海国际中心（二期）B区"
"店长推荐！南山花园4室精装修家具电器齐全干净";"11500元/月（押二付一）";"整租";"4室2厅2卫";"168平米";"南北";"高层";"精装修";"南山花园(南山/前海)";"荔湾路137号"
"京基100旁，小高层带电梯，住家3房2厅，看房方便";"7500元/月（押二付一）";"整租";"3室2厅1卫";"90平米";"南";"低层";"精装修";"祥宝楼 (罗湖/蔡屋围)";"罗湖区红宝路67号"
"雍翠华府，两房仅租4500，精装修，拎包入住，近水贝珠宝圈";"4500元/月（押一付三）";"整租";"2室1厅1卫";"52平米";"南北";"低层";"简装修";"雍翠华府 (罗湖/布心)";"太白路4088号"
"东湖丽苑 2房2厅 户型方正，看房有钥匙";"3880元/月（押一付三）";"整租";"2室1厅1卫";"53平米";"南";"高层";"简装修";"东湖丽苑 (罗湖/水库)";"罗湖区爱国路3001号"
"合正名园花园泳池小区，家私家电齐全，居家精装，暖心";"6200元/月（押二付一）";"整租";"1室1厅1卫";"65平米";"北";"高层";"精装修";"合正名园 (福田/景田)";"新闻路与景田南路交汇处"
"此房现在可看，明天搬家，随时可以签约，3房南北通透 实图";"5600元/月（押二付一）";"整租";"3室2厅1卫";"80平米";"南北";"中层";"简装修";"众望楼 (南山/西丽)";"西丽沙河西路工商银行附近"
"业主急租 精装复式两房 家电齐全 东方银座新德家园阳光棕榈园";"6600元/月（押二付一）";"整租";"2室2厅2卫";"68平米";"南";"中层";"精装修";"东方银座公馆 (南山/前海)";"前海路与学府路交汇处以东"
"一号线固戍站，南航明珠花园118平大三房，";"6000元/月（押一付三）";"整租";"3室2厅1卫";"118平米";"南";"中层";"精装修";"万象新天 (宝安/西乡)";"宝安大道与固戍二路交汇处"
"宝能北精装大五房，业主出租，家电齐全，拎包 入住！";"23000元/月（押二付一）";"整租";"5室2厅2卫";"173平米";"南北";"高层";"豪华装修";"宝能太古城北区 (南山/后海)";"南山后海滨路以东"
"星海名城(六期)豪华装修，心血和技术的结合，温馨居家缔造";"12000元/月（押二付一）";"整租";"4室2厅2卫";"135平米";"南";"高层";"豪华装修";"星海名城六期 (南山/前海)";"前海路西侧南头中学对面"
"茵悦之生，精装三房，实图实物，家俬电齐全，可拎包入住";"4300元/月（押二付一）";"整租";"3室2厅1卫";"89平米";"东南";"高层";"简装修";"茵悦之生花园 (龙岗/布吉)";"布吉布龙公路东侧(中海怡翠山庄与丽湖花园之间)"
"中山旁精致三房，京基大花园，78平朝南户型，基本配置出租";"2750元/月（押二付一）";"整租";"3室2厅1卫";"78平米";"南";"高层";"精装修";"京基御景印象 (坪山区/坪山)";"坪山中山大道与体育二路交汇处"
"罗湖谱心苑精装2房3500直接拎包入住 看实图！";"3400元/月（押二付一）";"整租";"2室1厅1卫";"46平米";"南";"高层";"中装修";"谱心苑 (罗湖/布心)";"深圳市罗湖区金稻田路港鹏新村右边"
"宝体地铁站，租金3300，拎包入住，精致大单间，手快有手慢无";"3300元/月（押二付一）";"整租";"1室0厅1卫";"28平米";"西北";"高层";"精装修";"花样年花乡 (宝安/宝安中心区)";"宝安中心区宝安大道与玉律路交汇处"
"木棉湾地鉄站 东方半岛花园 精装修2室, 家电齐全，招租！！！";"3000元/月（押一付二）";"整租";"2室1厅1卫";"72平米";"东西";"高层";"简装修";"东方半岛 (龙岗/布吉)";"深圳市龙岗区布龙路2号"
"红树西岸 两房两卫 家私电器全都配齐 居家舒适 看海景";"18000元/月（押二付一）";"整租";"2室2厅2卫";"118平米";"暂无";"中层";"豪华装修";"红树西岸 (南山/华侨城)";"沙河东路与滨海大道交汇处"
"口物业 宝安豪 宅 熙龙湾经典五室 家私家电齐全 诚租";"17000元/月（押一付三）";"整租";"5室4厅3卫";"176平米";"暂无";"低层";"精装修";"熙龙湾二期 (宝安/宝安中心区)";"深圳市宝安区甲岸路2号"
"《百花专租》长城一走楼梯3房、方正通透、低层有老人买东西方便";"7000元/月（押二付一）";"整租";"3室2厅1卫";"107平米";"南北";"低层";"中装修";"长城一花园 (福田/上步)";"上步百花四路与笋岗西路交汇处西南角"
"户型方正，带大阳台，高楼层，视野开阔无遮挡";"18000元/月（押二付一）";"整租";"3室2厅3卫";"145平米";"南";"高层";"简装修";"中洲中央公园 (宝安/新安)";"深圳宝安区创业路与前进路交汇处"
"南海玫瑰园一期 精装修三房两卫 家电齐全 可拎包入住";"12500元/月（押二付一）";"整租";"3室2厅2卫";"118平米";"南";"中层";"豪华装修";"南海玫瑰园一期 (南山/蛇口)";"蛇口望海路以西（海上世界女娲补天旁）"
"实拍图片 东乐花园 大三房 豪华装修 出租5500";"5750元/月（押二付一）";"整租";"3室2厅1卫";"89平米";"南";"中层";"精装修";"东乐花园 (罗湖/布心)";"布心路和太宁路交界处"
"水贝丰湖花园精装一房一厅 有钥匙 随时入住 租3000元";"2800元/月（面议）";"整租";"1室1厅1卫";"40平米";"南";"高层";"中装修";"丰湖花园 (罗湖/布心)";"布吉路农批市场南面"
"万象城旁，君悦酒店隔壁，幸福里豪宅，精装两房出租";"18000元/月（押二付一）";"整租";"2室2厅2卫";"95平米";"北";"高层";"精装修";"幸福里 (罗湖/蔡屋围)";"宝安南路1881号"
"厚德品园 花园社区 精装修 地铁口物业 深大旁边 近科技园";"8500元/月（押二付一）";"整租";"3室2厅2卫";"100平米";"南";"中层";"精装修";"厚德品园 (南山/南山中心区)";"学府路6号"
"华侨城香山美墅叠拼别墅 全部套间设计 现代风格装修 上下两层";"60000元/月（押二付一）";"整租";"8室3厅5卫";"284平米";"暂无";"中层";"豪华装修";"新天鹅堡 (南山/华侨城)";"华侨城天鹅湖北部"
"香蜜二村 精致两房 家私全齐 白领居家舒适 小区安静！";"5500元/月（押二付一）";"整租";"2室2厅1卫";"83平米";"暂无";"中层";"精装修";"香蜜二村 (福田/景田)";"福田区景田南街42号"
"灵芝地铁出口 都市翠海两房全齐出租 拎包入住";"5500元/月（押二付一）";"整租";"2室2厅1卫";"60平米";"南";"高层";"精装修";"都市翠海华苑 (宝安/新安)";"新安办21区创业二路灵芝公园旁"
"宜家式风格装修 花园式社区 独立阳台";"6500元/月（押一付三）";"整租";"1室1厅1卫";"50平米";"南";"中层";"豪华装修";"大冲新城花园 (南山/科技园)";"广东省深圳市南山区科技路654号"
"布心口，精装电梯两房，全齐，";"4600元/月（押二付一）";"整租";"2室2厅1卫";"68平米";"北";"中层";"精装修";"布心边防小区 (罗湖/布心)";"罗湖区金稻田路"
"坂田天虹 信义嘉御山精装刚需大两房，家私齐全，看房方便";"5500元/月（押二付一）";"整租";"2室2厅1卫";"69平米";"南";"高层";"豪华装修";"信义嘉御山 (龙岗/坂田)";"深圳地铁环中线五和站C出口"
"（个人）全新装修 星河国际花园 豪华大三房 带一固定车位";"13500元/月（押二付一）";"整租";"3室2厅2卫";"123平米";"南北";"中层";"豪华装修";"星河国际花园 (福田/福田中心区)";"福华四路与民田路的交汇处"
"颐安都会2期 客厅阳台朝南 78平 3房 家私齐全 4300月";"4300元/月（押一付二）";"整租";"3室2厅1卫";"78平米";"南";"高层";"精装修";"颐安都会中央 (龙岗/龙岗中心城)";"地铁3号线大运站C出口"
"底价出租 简装修 珠光 拎包随时就可以入住";"4200元/月（押二付一）";"整租";"2室1厅1卫";"54平米";"南";"高层";"简装修";"珠光公寓 (南山/西丽)";"西丽茶光工业区后面"
"科技园的老板们 福利来啦 精装两房 全套家私家电 价格美丽";"5500元/月（押二付一）";"整租";"2室1厅1卫";"60平米";"南";"中层";"精装修";"城市山谷三期 (南山/科技园)";"高新科技园区"
"御河堤花园 精装一房一厅 地铁口物业 随时入住";"5400元/月（押二付一）";"整租";"1室1厅1卫";"44平米";"东";"中层";"精装修";"御河堤 (福田/上步)";"红岭南路与东园路交汇处岁宝百货旁"
"蜗牛房东直租 无中介费 11号线福永站700米";"1800元/月（押一付一）";"整租";"1室0厅1卫";"25平米";"南";"高层";"中装修";"鸿德园 (宝安/福永)";"宝安宝安区桥和路"
"店长！丽湾国际46平2室家具电器齐全干净";"4200元/月（押二付一）";"整租";"2室2厅1卫";"46平米";"南";"中层";"精装修";"丽湾商务公寓(南山/前海)";"前海路与兴海大道交汇处"
"招商名仕精装修安静大四房拎包入住登良地铁";"11500元/月（押二付一）";"整租";"4室2厅2卫";"137平米";"南北";"中层";"精装修";"招商名仕花园 (南山/后海)";"后海大道与登良路东交汇处"
"同乐社区 中骏四季阳光 新房出租 近坪山高铁站 随时看房";"2600元/月（押一付一）";"整租";"3室2厅2卫";"75平米";"南北";"高层";"精装修";"中骏四季阳光 (龙岗/龙岗中心城)";"深汕公路与深汕高速交汇处（沈海高速龙岗出口右拐200"
"豪华装修 华润物业 私密性好 朝向好2居室";"15000元/月（押一付三）";"整租";"2室2厅2卫";"95平米";"北";"中层";"豪华装修";"幸福里 (罗湖/蔡屋围)";"宝安南路1881号"
"金地香蜜山《豪华装修大三房中等楼层》二号线香蜜站南北通透";"15500元/月（押二付一）";"整租";"3室2厅2卫";"136平米";"南北";"中层";"豪华装修";"金地香蜜山 (福田/香蜜湖)";"香蜜路与侨香路交汇处"
"坂田天安云谷旁佳兆业城市广场，精装住家方正三房，楼层佳看园景";"5500元/月（押二付一）";"整租";"3室2厅2卫";"89平米";"南北";"中层";"精装修";"佳兆业城市广场 (龙岗/坂田)";"坂雪岗大道与布澜大道交汇处"
"前海星海名城二期 2房 高楼层 安静";"6680元/月（押二付一）";"整租";"2室1厅1卫";"75平米";"南";"高层";"简装修";"星海名城二期 (南山/前海)";"前海路西侧南头中学对面"
"一村5区，地-铁口，精装三加一房，配套齐，拎包住，仅租7300";"7000元/月（押一付三）";"整租";"3室1厅1卫";"98平米";"南";"低层";"精装修";"梅林一村 (福田/梅林)";"福田梅林路148号"
"园岭花园：地铁口花园式住宅，南向精装修大三房，可配齐家私";"6800元/月（面议）";"整租";"3室2厅1卫";"94平米";"南北";"中层";"精装修";"园岭花园 (福田/上步)";"笋岗西路1005号"
"我们租的不是楼，是艺术品，是古董，是成就地位与历史！";"12000元/月（押二付一）";"整租";"3室2厅1卫";"108平米";"南";"高层";"精装修";"香榭里花园 (福田/农科中心)";"农科中心农园路与春田路交汇西"
"上城，尚上生活，三个公园环绕，地铁3号线，大3房";"40000元/月（押二付一）";"整租";"3室2厅4卫";"260平米";"南北";"高层";"精装修";"深业上城 (福田/莲花)";"区皇岗路与笋岗路交汇处西北(原赛格日立厂房)"
"水湾1979高层精装修，三居室户型好，装修不错看房方便";"18000元/月（押一付三）";"整租";"3室1厅1卫";"146平米";"南";"高层";"毛坯";"水湾1979 (南山/蛇口)";"蛇口太子路与荔园路交汇（水湾地铁站D出口）"
"福田车公庙口 都市阳光名苑105平办.公型";"8000元/月（押二付一）";"整租";"3室1厅1卫";"105平米";"南北";"高层";"精装修";"都市阳光名苑 (福田/车公庙)";"深圳市福田区深南大道6017号"
"缔梦园，年轻人筑梦家园，温馨小窝";"4200元/月（押二付一）";"整租";"1室1厅1卫";"40平米";"南";"高层";"精装修";"缔梦园 (福田/景田)";"景田莲花路与景田路交汇处"
"君汇新天精装修两房两卫 花园中间安静 租客转租 租金仅1万";"10000元/月（面议）";"整租";"2室2厅2卫";"85平米";"南北";"高层";"精装修";"君汇新天 (南山/蛇口)";"深圳市南山区中心路(深圳湾段)2269号"
"看好了，别上当，金色家园的房子哪有那么便宜，少有，这套带车位";"12800元/月（押二付一）";"整租";"3室2厅1卫";"113平米";"南";"中层";"精装修";"万科金色家园二期 (福田/景田)";"福田区莲花路2018号"
"蛇口花园城三期朝南精装修3房2卫小区内带所双语幼儿园";"11000元/月（押二付一）";"整租";"3室2厅2卫";"107平米";"南北";"低层";"精装修";"花园城(三期)(南山/蛇口)";"南海大道"
"黄贝岭地铁口， 大三房朝东南中层大阳台，豪装拎包入住。";"9000元/月（押二付一）";"整租";"3室1厅2卫";"89平米";"东南";"中层";"豪华装修";"深业东岭 (罗湖/黄贝岭)";"深南东路与沿河北路交汇处(近黄贝岭村牌坊)"
"五和民治双口，四季如春环湖社区，家私、家私、家私";"5500元/月（押二付一）";"整租";"2室2厅1卫";"67平米";"南北";"中层";"精装修";"春华四季园 (龙华区/民治)";"华南路与民康路交界处"
"近关口，吉星花园小区房精装出租";"1600元/月（押一付一）";"整租";"1室1厅1卫";"45平米";"南";"高层";"精装修";"吉星花园 (龙岗/布吉)";"布吉街道办深惠路30-40号"
"荔山公馆，邻地铁口，家电，品质生活！";"6000元/月（押二付一）";"整租";"3室2厅2卫";"89平米";"暂无";"低层";"暂无资料";"荔山公馆 (龙岗/布吉)";"龙岗区布吉荣华路与白鸽路交汇处"
"海韵嘉园 95平方正三房 全新装修 可拎包入住，周边配套成熟";"12000元/月（押二付一）";"整租";"3室2厅1卫";"95平米";"南";"低层";"简装修";"海韵嘉园 (南山/蛇口)";"深圳市南山区望海路1088号"
"石厦精装修一房一厅 近 品质小区 家电全齐 拎包入住";"5500元/月（押二付一）";"整租";"1室1厅1卫";"42平米";"西北";"低层";"精装修";"绿洲丰和家园 (福田/石厦)";"新洲路与滨河大道交界处"
"心酸价 火急火燎出租 100平3室";"8000元/月（押二付一）";"整租";"3室2厅2卫";"100平米";"南北";"低层";"简装修";"天朗风清 (南山/前海)";"南山区桃李路20号"
